first,second,third
0,17,28155
1,37,15554
2,38,13701
3,71,19545
4,89,24576
5,91,29827
6,119,12959
7,221,7297
8,250,19608
9,269,26743
10,313,9545
11,329,26103
12,384,3615
13,423,21804
14,439,30989
15,487,25844
16,566,14487
17,625,27352
18,686,24558
19,705,5227
20,710,912
21,775,14237
22,850,15511
23,869,8847
24,882,27987
25,889,31079
26,942,12049
27,943,6085
28,979,1214
29,1006,25919
30,1017,15678
31,1101,2037
32,1110,23793
33,1134,31828
34,1159,12961
35,1255,17993
36,1260,19396
37,1275,8396
38,1300,8956
39,1361,23589
40,1374,11218
41,1399,11079
42,1445,4213
43,1472,6784
44,1518,27051
45,1572,5370
46,1608,9121
47,1609,28869
48,1619,16142
49,1672,20891
50,1687,7456
51,1708,21596
52,1798,13951
53,1860,22744
54,1864,10698
55,1916,19173
56,1939,26312
57,1994,7072
58,2084,29775
59,2086,27469
60,2091,29793
61,2116,10245
62,2181,27690
63,2197,22702
64,2213,9829
65,2303,31597
66,2314,27428
67,2417,23499
68,2424,14332
69,2527,6368
70,2575,28996
71,2578,9850
72,2588,14740
73,2593,23562
74,2616,31112
75,2738,6071
76,2870,14794
77,2940,23389
78,2952,5928
79,3011,29061
80,3037,22701
81,3051,18926
82,3065,32241
83,3072,31949
84,3089,20481
85,3189,4718
86,3269,12003
87,3270,23358
88,3282,30865
89,3298,9599
90,3316,22102
91,3380,22930
92,3561,13017
93,3589,6492
94,3605,20912
95,3633,32285
96,3649,6262
97,3653,29272
98,3725,23398
99,3789,28715
100,3822,8787
101,3823,8823
102,3824,7630
103,3868,8163
104,3892,23733
105,3912,22149
106,3973,30213
107,3978,28566
108,3979,4475
109,4003,13249
110,4007,26965
111,4013,8843
112,4043,19924
113,4044,20201
114,4142,27046
115,4178,15057
116,4220,26618
117,4236,6286
118,4270,25410
119,4275,24192
120,4290,16367
121,4408,31429
122,4428,20661
123,4616,18788
124,4620,12111
125,4823,17979
126,4859,17521
127,4892,19397
128,4923,13490
129,4976,7854
130,4982,28837
131,4996,20974
132,5053,11959
133,5068,24612
134,5156,29008
135,5235,13612
136,5262,7914
137,5316,22572
138,5516,30800
139,5571,27954
140,5577,20118
141,5673,15570
142,5704,10405
143,5722,28697
144,5757,9994
145,5761,9651
146,5780,23579
147,5881,8583
148,5887,9841
149,5944,12594
150,5957,28462
151,6012,9348
152,6046,13391
153,6170,16858
154,6175,30069
155,6212,28335
156,6302,32909
157,6401,13830
158,6475,26451
159,6578,12524
160,6605,20934
161,6609,26781
162,6615,28722
163,6635,9458
164,6642,11978
165,6676,20451
166,6763,9589
167,6791,32845
168,6818,16659
169,6851,13540
170,6856,17408
171,6884,9501
172,6892,12445
173,6942,19091
174,7031,9444
175,7099,9767
176,7185,25280
177,7267,21345
178,7277,19907
179,7283,20829
180,7313,12264
181,7406,24260
182,7518,11142
183,7557,26660
184,7566,26895
185,7583,18175
186,7615,26981
187,7681,11265
188,7705,24765
189,7715,31083
190,7740,28342
191,7903,32456
192,7939,10649
193,7994,27661
194,8026,24382
195,8123,25511
196,8145,16202
197,8225,14664
198,8239,27093
199,8363,33014
200,8378,16786
201,8445,32857
202,8456,11100
203,8477,18059
204,8507,16881
205,8722,31137
206,8762,23509
207,8807,13884
208,8831,21897
209,8839,17976
210,8864,17342
211,8934,12125
212,8957,14986
213,8958,16158
214,8971,17056
215,8990,30342
216,9117,29594
217,9191,28236
218,9197,30948
219,9296,30503
220,9332,26343
221,9365,32133
222,9469,25866
223,9554,10268
224,9575,11095
225,9634,27844
226,9646,12390
227,9757,31558
228,9814,14376
229,9865,12135
230,9871,29024
231,9948,24963
232,9953,11410
233,10045,10931
234,10121,22425
235,10138,24887
236,10140,16371
237,10235,15111
238,10397,25428
239,10426,14619
240,10432,13092
241,10460,11557
242,10597,10685
243,10613,21993
244,10654,10880
245,10867,13394
246,10911,17338
247,10966,13179
248,11016,14467
249,11042,17758
250,11043,32406
251,11109,25323
252,11124,20980
253,11152,26662
254,11236,16751
255,11252,14241
256,11435,29482
257,11444,12325
258,11517,29943
259,11625,32418
260,11630,17922
261,11650,28547
262,11774,25566
263,11813,26252
264,11818,20051
265,11883,12771
266,11914,25108
267,11963,26776
268,12052,30224
269,12151,18101
270,12212,22054
271,12223,32249
272,12377,16630
273,12481,13693
274,12539,24532
275,12567,20820
276,12607,28841
277,12708,27636
278,12756,30131
279,12812,16969
280,12934,30967
281,12999,14530
282,13159,22347
283,13169,26442
284,13214,28779
285,13218,28567
286,13227,13875
287,13230,29457
288,13258,13746
289,13439,26152
290,13484,32068
291,13534,15981
292,13553,30006
293,13563,25666
294,13675,26183
295,13745,14544
296,13767,29189
297,13821,24300
298,13849,15326
299,13914,21832
300,14107,28736
301,14157,28907
302,14160,31905
303,14273,21361
304,14330,22801
305,14361,19049
306,14678,16146
307,14722,31425
308,14731,19501
309,14895,29005
310,14998,30228
311,15022,15331
312,15058,31689
313,15079,24533
314,15148,29821
315,15343,26181
316,15580,31602
317,15596,29200
318,15691,22659
319,15706,25998
320,15917,32026
321,16008,28048
322,16042,18468
323,16053,21031
324,16281,27773
325,16344,28512
326,16379,29631
327,16428,22989
328,16694,22388
329,16784,32330
330,16817,18115
331,16905,24331
332,16906,27359
333,16910,24639
334,16929,17741
335,16931,19773
336,17179,27530
337,17207,18997
338,17230,17946
339,17340,30281
340,17341,28946
341,17377,18570
342,17453,28274
343,17579,21088
344,17713,29992
345,17852,28272
346,17881,32735
347,17938,29046
348,17988,32835
349,18023,22139
350,18041,25747
351,18052,28277
352,18276,24497
353,18406,25138
354,18436,32961
355,18523,20554
356,18590,28649
357,18673,30707
358,18789,23323
359,18855,23047
360,18968,23849
361,19037,32640
362,19254,19340
363,19344,25199
364,19409,28939
365,19506,22249
366,19566,28451
367,19579,29322
368,19960,23706
369,19980,29043
370,20008,28723
371,20050,31162
372,20231,27518
373,20311,29431
374,20395,29236
375,20622,25125
376,20663,27285
377,20742,28366
378,20823,26187
379,20915,21737
380,20944,31498
381,21126,27910
382,21259,21580
383,21798,30152
384,21873,25829
385,22093,24802
386,22110,22601
387,22192,27064
388,22339,31730
389,22889,26317
390,23267,31608
391,23297,29886
392,23356,25132
393,23522,24081
394,23932,32619
395,24066,28262
396,24111,30055
397,24236,30453
398,24262,25679
399,24328,24659
400,24524,25483
401,24692,30142
402,24826,28071
403,25059,25294
404,25072,31836
