0,1,2,3
445,1172,,
1300,2840,,
1338,1890,,
1446,36555,,
1458,48740,,
1574,1616,,
2179,48032,,
2186,46326,,
2194,32571,,
2203,52067,,
2207,26016,,
2211,50434,,
2217,30287,,
2226,39338,,
2253,34041,,
2255,36506,,
2257,30761,,
2294,48256,,
2825,2826,,
2883,47262,,
2900,43779,,
2929,3226,,
2990,8112,,
3254,4868,,
3349,6115,,
3466,3982,,
3504,8673,,
3524,6483,,
3534,3827,,
3595,4108,,
5083,10578,,
5804,8100,,
5994,11001,,
6192,10135,,
6393,32408,,
6585,8144,,
7333,8651,,
8845,35073,,
9038,9567,,
9896,34508,,
10822,12192,34087.0,
10930,54678,,
10999,38283,44759.0,52868.0
12003,28872,,
12933,17039,,
12937,20013,,
13415,22468,,
13660,22600,,
13668,16428,,
14466,17972,,
14526,21550,,
15005,21350,,
15623,20931,,
16291,21057,,
16483,23011,,
17210,20542,,
17378,22517,,
17393,22664,,
17869,21378,,
17932,24625,,
18635,19105,,
18811,19013,24435.0,
19311,21903,,
19346,22774,,
19729,20381,,
19773,22907,,
20058,22990,,
20092,25030,,
20101,22963,,
20804,25211,,
21317,23354,,
21561,40795,,
22227,22305,,
22648,23699,,
22955,24231,,
25688,32024,,
28315,31110,54346.0,
29799,50670,,
33536,49808,,
33611,40129,,
33684,49071,,
33705,39861,44337.0,46598.0
34323,41808,,
35326,56245,,
37909,54659,,
38586,43564,,
39185,41956,,
39268,51483,55000.0,
40515,47943,,
46499,48238,,
51259,53253,,
